98    J0241+16      dsm+13     1.5454                   0  dsm+13         0.647082           0  dsm+13     16             0  dsm+13     0.94   0.94     ymw17
99    J0242+62      hrk+08     0.592                    0  hrk+08         1.689189           0  hrk+08     4              0  hrk+08     0.22   0.22     ymw17
100   J0243+6027    hrk+08     1.473                    0  hrk+08         0.678887           0  hrk+08     141            0  hrk+08     2.72   2.72     ymw17

101   J0244+14      dsm+13     2.1281                   0  dsm+13         0.469903           0  dsm+13     31             0  dsm+13     2.80   2.80     ymw17
102   J0248+6021    tpc+11     0.217094                 5  tpc+11     4.6063                 1  tpc+11     370            1  tpc+11     2.00   +25.00   ymw17
103   J0251+26      cck+16     0.00254                  0  cck+16       393.700787           0  cck+16     20             0  cck+16     1.15   1.15     ymw17
104   B0254-53      lvw69b     0.447708444058           3  smd93      2.233596469470        15  smd93      15.9           5  mlt+78     1.51   1.51     ymw17
105   J0303+22      ttol16     1.207                    0  ttol16         0.828500           0  ttol16     20             5  ttol16     1.08   1.08     ymw17

106   B0301+19      fss73      1.387584446262           3  hlk+04     0.7206768587625       14  hlk+04     15.65677      35  bkk+16     0.74   0.74     ymw17
107   J0308+74      hrm+11     0.00316                  0  hrm+11       316.455696           0  hrm+11     6.35           0  hrm+11     0.38   0.38     ymw17
108   B0320+39      dth78      3.032071956385          10  hlk+04     0.3298074763345       10  hlk+04     26.18975      93  bkk+16     1.20   1.20     ymw17
109   J0324+5239    bck+13     0.336620230291           3  bck+13     2.97070677878          3  bck+13     115.4636      29  bkk+16     2.29   2.29     ymw17
110   J0325+67      slr+14     1.364741                62  slr+14     0.73274                4  slr+14     65             2  slr+14     1.93   1.93     ymw17

111   J0329+1654    lxf+05     0.893319660649           1  lxf+05     1.1194201180723       13  lxf+05     40.821        36  bkk+16     2.56   2.56     ymw17
112   B0329+54      cp68       0.714519699726           4  hlk+04     1.399541538720         6  hlk+04     26.7641        1  hsh+12     1.00   1.18     ymw17
113   J0332+79      kkl+15     2.05621                  6  kkl+15     0.486332              15  kkl+15     16.67          2  kkl+15     1.05   1.05     ymw17
114   B0331+45      dtws85     0.26920054092953        13  hlk+04     3.7147027882896       17  hlk+04     47.14571      29  bkk+16     1.54   1.54     ymw17
115   J0337+1715    rsa+14     0.00273258863244         9  rsa+14     365.953363096         11  rsa+14     21.3162        3  rsa+14     1.30   0.82     ymw17

116   J0338+66      slr+14     1.76200                 15  slr+14     0.56754                5  slr+14     67             2  slr+14     1.93   1.93     ymw17
117   J0340+4130    hrm+11     0.003299339366490734    17  abb+18     303.0909794113198     15  abb+18     49.5865       16  abb+18     1.60   1.60     ymw17
118   J0341+5711    hrk+08     1.888                    0  hrk+08         0.529661           0  hrk+08     100            0  hrk+08     2.03   2.03     ymw17
119   J0343-3000    bjd+06     2.59702715738            9  bjd+06     0.385055657642        14  bjd+06     20.2           3  bjd+06     1.59   1.59     ymw17
120   B0339+53      dth78      1.934478067294          15  hlk+04     0.516935299969         4  hlk+04     67.30          6  hlk+04     1.71   1.71     ymw17

121   J0348+0432    lbr+13     0.0391226569017806       7  afw+13     25.5606361937675       4  afw+13     40.46313      11  afw+13     2.10   2.25     ymw17
122   J0357+3205    aaa+09c    0.4441044988             6  rkp+11     2.251722292            3  rkp+11     *              0  *          0.83   *        *
123   B0353+52      dtws85     0.1970300980314          3  hlk+04     5.075366707885         7  hlk+04     103.706        4  hlk+04     2.03   2.03     ymw17
124   J0358+42      slr+14     0.2264777               50  slr+14     4.41545               10  slr+14     46             1  slr+14     1.48   1.48     ymw17
125   B0355+54      mth72      0.156384121559           8  lwy+16     6.3945110925           3  lwy+16     57.1420        3  js06       1.00   1.59     ymw17

126   J0358+66      slr+14     0.09150682              63  slr+14     10.92815               8  slr+14     62.3           4  slr+14     1.89   1.89     ymw17
127   J0359+5414    cwp+17     0.0794272322920         13  cwp+17     12.5901403227          2  cwp+17     *              0  *          *      *        *
128   B0403-76      mlt+78     0.545252742352          16  smd93      1.83401186702          6  smd93      21.7           1  pkj+13     1.01   1.01     ymw17
129   B0402+61      dth78      0.5945761650437          8  ywml10     1.681870311647         2  ywml10     65.4053       34  bkk+16     1.79   1.79     ymw17
130   J0407+1607    lxf+05     0.02570173919463         2  lxf+05     38.90787282632         4  lxf+05     35.65          2  lxf+05     1.34   1.34     ymw17

131   J0408+551     hrk+08     1.837                    0  hrk+08         0.544366           0  hrk+08     55             0  hrk+08     1.57   1.57     ymw17
132   J0408+552     hrk+08     0.754                    0  hrk+08         1.326260           0  hrk+08     64             0  hrk+08     1.66   1.66     ymw17
133   J0410-31      bbj+11     1.8785                   2  bbj+11     0.53234                6  bbj+11     9.2            3  bbj+11     0.41   0.41     ymw17
134   J0413+58      hrk+08     0.687                    0  hrk+08         1.455604           0  hrk+08     57             0  hrk+08     1.63   1.63     ymw17
135   B0410+69      dtws85     0.3907150899386          3  hlk+04     2.5594097227140       17  hlk+04     27.44598      38  bkk+16     1.37   1.37     ymw17

136   J0417+35      cnst96     0.65440                  3  cnst96     1.52812                8  cnst96     48.5336       12  bkk+16     1.48   1.48     ymw17
137   J0417+61      slr+14     0.440283                13  slr+14     2.27127                7  slr+14     71             2  slr+14     1.85   1.85     ymw17
138   J0418-4154    bcm+15     0.75711887132            6  bcm+15     1.3207965590           1  bcm+15     24.54          8  bcm+15     2.57   2.57     ymw17
139   J0418+5732    vck+10     9.07838822               5  rip+13     0.1101517115           7  rip+13     *              0  *          *      *        *
140   J0419+44      hrk+08     1.241                    0  hrk+08         0.805802           0  hrk+08     71             0  hrk+08     1.69   1.69     ymw17

141   J0420-5022    hmz+04     3.453004027             12  kv11       0.2896029058          10  kv11       *              0  *          *      *        *
142   J0421-0345    mld+96     2.161308494552          15  hlk+04     0.462682676962         3  hlk+04     44.61          9  hlk+04     2.20   2.20     ymw17
143   J0421+32      ttol16     0.9005                   0  ttol16         1.110494           0  ttol16     75            15  ttol16     1.91   1.91     ymw17
144   J0426+4933    hrk+08     0.922474730055           2  bck+13     1.084040535116         3  bck+13     85             0  hrk+08     1.80   1.80     ymw17
145   J0435+2749    rtj+96     0.3262794534509         14  bfrs18     3.064857408039        13  bfrs18     53.19          2  bfrs18     1.52   1.52     ymw17

146   J0437-4715    jlh+93     0.005757451936712637    17  rhc+16     173.6879458121843      5  rhc+16     2.64476        7  vbv+08     0.16   0.16     ymw17
147   J0447-04      kkl+15     2.18819                  2  kkl+15     0.456999               5  kkl+15     29.83          4  kkl+15     0.67   0.67     ymw17
148   J0448-2749    lml+98     0.4504483308563         17  hlk+04     2.220010446257         8  hlk+04     26.22          4  hlk+04     1.81   1.81     ymw17
149   J0449-7031    mfl+06     0.479163971291          14  mfl+06     2.08696826121          7  mfl+06     65.83          7  mfl+06     49.70  50.5     ymw17
150   B0447-12      mlt+78     0.4380141493906          8  hlk+04     2.283031270545         4  hlk+04     37.041        10  hlk+04     1.77   1.77     ymw17

151   J0451-67      mfl+06     0.24545429               7  mfl+06     4.0740783             12  mfl+06     45             1  mfl+06     49.70  4.2      ymw17
152   B0450-18      vlw69      0.548939223294           3  hlk+04     1.821695294426         7  hlk+04     39.903         3  hlk+04     0.40   2.71     ymw17
153   J0453+1559    dsm+13     0.0457818168729515      33  msf+15     21.8427329517106      16  msf+15     30.3053        3  msf+15     0.52   0.52     ymw17
154   B0450+55      dth78      0.340729436235          10  hlk+04     2.93487997706          8  hlk+04     14.59002      15  bkk+16     1.18   0.64     ymw17
155   B0456-69      mmh+91     0.320422711526          12  ckm+01     3.12087740359         12  ckm+01     94.89         14  ckm+01     49.70  50.6     ymw17

156   J0456-69      rcl+13     0.117073051             15  rcl+13     8.5416754             11  rcl+13     103            1  rcl+13     49.70  50.5     ymw17
157   J0456-7031    mfl+06     0.80013207321           10  mfl+06     1.24979366967         16  mfl+06     100.3          3  mfl+06     49.70  51.1     ymw17
158   J0457+23      dsm+13     0.5049                   0  dsm+13         1.980590           0  dsm+13     59             0  dsm+13     1.52   1.52     ymw17
159   J0457-6337    mfl+06     2.49701169613           19  mfl+06     0.40047870082          4  mfl+06     27.5          10  mfl+06     1.33   1.33     ymw17
160   J0457-69      rcl+13     0.231390388             73  rcl+13     4.3217007             14  rcl+13     91             1  rcl+13     49.70  50.4     ymw17

161   J0458-0505    lbr+13     1.88347965849           18  lbr+13     0.53093220067          6  lbr+13     47.806        32  lbr+13     1.94   1.94     ymw17
162   J0458-67      rcl+13     1.1339000               18  rcl+13     0.8819120             14  rcl+13     97             2  rcl+13     49.70  50.2     ymw17
163   J0459-0210    mld+96     1.133076123659           6  hlk+04     0.882553236380         4  hlk+04     21.02          3  hlk+04     0.16   0.16     ymw17
164   J0501+4516    gwk08      5.76209653               4  gwk+10     0.173547943            1  gwk+10     *              0  *          2.20   *        *
165   B0458+46      dth78      0.638565481517           3  hlk+04     1.566010110074         5  hlk+04     41.834        20  bkk+16     1.32   1.32     ymw17

166   B0502-66      mmh+91     0.69125141818            4  ckm+01     1.44665164324          9  ckm+01     68.9           3  ckm+01     49.70  49.1     ymw17
167   J0509+08      dsm+13     0.0041                   0  dsm+13       243.902439           0  dsm+13     38             0  dsm+13     0.80   0.80     ymw17
168   J0510+38      slr+14     0.07656440              44  slr+14     13.06090               8  slr+14     69             1  slr+14     1.56   1.56     ymw17
169   J0511-6508    mfl+06     0.322061827468           8  mfl+06     3.10499386985          8  mfl+06     25.66          8  mfl+06     0.82   0.82     ymw17
170   J0514-4002A   fgri04     0.004990575114114        3  frg07      200.37770740529       11  frg07      52.1489        6  frg07      13.20  +25.00   ymw17

171   J0514-4407    bcm+15     0.3022                   0  bcm+15         3.309067           0  bcm+15     15.4           0  bcm+15     0.99   0.99     ymw17
172   J0517+2212    cha03      0.2223665151982          7  bfrs18     4.497079963269        13  bfrs18     18.705        14  bfrs18     0.16   0.16     ymw17
173   J0519+44      hrk+08     0.515                    0  hrk+08         1.941748           0  hrk+08     52             0  hrk+08     1.42   1.42     ymw17
174   J0519+54      slr+14     0.340194                12  slr+14     2.93950               11  slr+14     43             1  slr+14     1.45   1.45     ymw17
175   J0519-6932    mfl+06     0.263211634568           3  mfl+06     3.79922415527          5  mfl+06     119.4          5  mfl+06     49.70  49.7     ymw17

176   J0520-2553    lml+98     0.2416421756731          7  hlk+04     4.138350423366        11  hlk+04     33.77          3  hlk+04     2.38   2.38     ymw17
177   J0521-68      rcl+13     0.43342070              30  rcl+13     2.3072271             16  rcl+13     136            4  rcl+13     49.70  49.8     ymw17
178   J0522-6847    mfl+06     0.67453190906            3  mfl+06     1.48250955451          7  mfl+06     126.45         7  mfl+06     49.70  49.6     ymw17
179   B0523+11      mlt+78     0.35443759451370        13  hlk+04     2.8213711397405       10  hlk+04     79.418        13  bkk+16     1.84   1.84     ymw17
180   J0525-6607    mgi+79     8.0470                   2  kkm+03     0.124270               4  kkm+03     *              0  *          *      *        *

181   B0525+21      sr68       3.74553925030            3  ywml10     0.266984253314         2  ywml10     50.8695       13  bkk+16     1.22   1.22     ymw17
182   B0529-66      mhah83     0.97572496638            6  ckm+01     1.02487897149          7  ckm+01     103.2          3  ckm+01     49.70  49.6     ymw17
183   J0532-6639    mfl+06     0.64274275093            3  mfl+06     1.55583240504          8  mfl+06     69.3          18  mfl+06     49.70  47.9     ymw17
184   J0532-69      rcl+13     1.1491957               14  rcl+13     0.8701738             11  rcl+13     124            1  rcl+13     49.70  49.6     ymw17
185   J0533+0402    snt97      0.96301770198            2  snt97      1.03840251113          3  snt97      83.7           1  snt97      2.17   2.17     ymw17

186   J0533+67      rap+12     0.00439                  0  rap+12       227.790433           0  rap+12     57.4           0  rap+12     2.28   2.28     ymw17
187   B0531+21      sr68       0.0333924123            12  ljg+15     29.946923              1  ljg+15     56.77118      24  bkk+16     2.00   1.31     ymw17
188   J0534-6703    mfl+06     1.81756503106           17  mfl+06     0.55018664142          6  mfl+06     94.7          12  mfl+06     49.70  48.8     ymw17
189   J0535-66      rcl+13     0.210524357             30  rcl+13     4.7500442              7  rcl+13     75             1  rcl+13     49.70  48.1     ymw17
190   J0535-6935    ckm+01     0.20051133               2  mfl+06     4.9872493              5  mfl+06     93.7           4  mfl+06     49.70  48.9     ymw17

191   B0538-75      mlt+78     1.24585559629            5  smd93      0.80266124178          4  smd93      18.58          2  pkj+13     0.14   0.14     ymw17
192   J0537-69      rcl+13     0.112613212             20  rcl+13     8.8799527             16  rcl+13     273            1  rcl+13     49.70  49.9     ymw17
193   J0537-6910    mgz+98     0.0161222220245          4  mgm+04     62.0261895958         13  mgm+04     *              0  *          49.70  *        *
194   J0538+2817    fcwa95     0.14315825891177        11  klh+03     6.985276348019         5  klh+03     39.570         1  lwf+04     1.30   0.95     ymw17
195   J0540+3207    cfl+06     0.5242708632083          5  nab+13     1.9074109781353       19  nab+13     61.97          4  nab+13     1.42   1.42     ymw17

196   B0540-69      shh84      0.0505697030222         18  fak15      19.7746860321          7  fak15      146.5          2  jr03       49.70  48.9     ymw17
